name,phase,policy,gpu,tag,batch,dtype,stacks,hbm_gen,link_gbps,eff_link_gbps,barriers,hit_rate,replay_s,analytic_s,ratio,q_over_bar
A-deepseek-7.5,decode,static,H100,DeepSeek-V2-Lite,1,fp16,5,HBM3,50.7,50.7,32,0.6562,0.02398,0.0241587675,0.992600,0.005298
A-deepseek-b16,decode,static,H100,DeepSeek-V2-Lite,16,fp16,5,HBM3,50.7,50.7,32,0.1942,0.442364,0.445813765,0.992262,0.000287
A-phi-b4,decode,static,H100,Phi-3.5-MoE,4,fp16,5,HBM3,50.7,50.7,32,0.1244,0.53632,0.540435043,0.992386,0.000237
A-phi-fp8,decode,static,H100,Phi-3.5-MoE,1,fp8,5,HBM3,50.7,50.7,32,0.3906,0.062408,0.0629103237,0.992015,0.002035
B-mixtral-b16,decode,static,H100,Mixtral-8x7B,16,fp16,5,HBM3,50.7,50.7,32,0.0909,1.633216,1.64574244,0.992389,0.000078
B-mixtral-b4,decode,static,H100,Mixtral-8x7B,4,fp16,5,HBM3,50.7,50.7,32,0.1356,1.087612,1.09587118,0.992463,0.000117
B-olmoe-b16,decode,static,H100,OLMoE-1B-7B,16,fp16,5,HBM3,50.7,50.7,32,0.0,0.418988,0.422263017,0.992244,0.000303
B-olmoe-b4,decode,static,H100,OLMoE-1B-7B,4,fp16,5,HBM3,50.7,50.7,32,0.2238,0.138828,0.139909337,0.992271,0.000915
B-olmoe-b64,decode,static,H100,OLMoE-1B-7B,64,fp16,5,HBM3,50.7,50.7,32,0.0,0.50754,0.511615448,0.992034,0.000250
B3-mixtral-b4,decode,static,H100,Mixtral-8x7B,4,fp16,5,HBM3,114.5,114.5,32,0.1356,0.50254,0.503440069,0.998212,0.000254
B3-olmoe-b16,decode,static,H100,OLMoE-1B-7B,16,fp16,5,HBM3,114.5,114.5,32,0.0,0.193256,0.193532613,0.998571,0.000661
B3-olmoe-b4,decode,static,H100,OLMoE-1B-7B,4,fp16,5,HBM3,114.5,114.5,32,0.2238,0.064088,0.0641268329,0.999394,0.001996
BB-deepseek,decode,static,B200,DeepSeek-V2-Lite,1,fp16,8,HBM3e,50.7,50.7,32,0.4375,0.037852,0.0375678652,1.007563,0.003407
BB-mixtral,decode,static,B200,Mixtral-8x7B,1,fp16,8,HBM3e,50.7,50.7,32,0.1719,0.37642,0.373126739,1.008826,0.000343
BB-mixtral-b16,decode,static,B200,Mixtral-8x7B,16,fp16,8,HBM3e,50.7,50.7,32,0.0909,1.632664,1.61788805,1.009133,0.000079
BB-mixtral-cxl3,decode,static,B200,Mixtral-8x7B,1,fp16,8,HBM3e,114.5,114.5,32,0.1719,0.173856,0.167905506,1.035440,0.000762
BB-mixtral-fp8,decode,static,B200,Mixtral-8x7B,1,fp8,8,HBM3e,50.7,50.7,32,0.1875,0.184796,0.18309725,1.009278,0.000699
BB-olmoe,decode,static,B200,OLMoE-1B-7B,1,fp16,8,HBM3e,50.7,50.7,32,0.3203,0.044092,0.0437351825,1.008159,0.002927
BB-olmoe-b16,decode,static,B200,OLMoE-1B-7B,16,fp16,8,HBM3e,50.7,50.7,32,0.0,0.418988,0.415357872,1.008740,0.000308
BB-olmoe-cxl3,decode,static,B200,OLMoE-1B-7B,1,fp16,8,HBM3e,114.5,114.5,32,0.3203,0.02044,0.0196728546,1.038995,0.006506
BB-olmoe-pcie4,decode,static,B200,OLMoE-1B-7B,1,fp16,8,HBM3e,24.9,24.9,32,0.3203,0.089644,0.0884800068,1.013155,0.001447
BB-olmoe-x256,decode,static,B200,OLMoE-1B-7B,1,fp16,8,HBM3e,50.7,50.7,256,0.2119,0.409368,0.405375878,1.009848,0.002526
BB-phi,decode,static,B200,Phi-3.5-MoE,1,fp16,8,HBM3e,50.7,50.7,32,0.375,0.127296,0.126123487,1.009297,0.001015
BB-phi-hr,decode,static,B200,Phi-3.5-MoE,1,fp16,8,HBM3e,50.7,50.7,64,1.0,0.003072,0.00298116668,1.030469,0.085872
C-deepseek-2.5,decode,static,H100,DeepSeek-V2-Lite,1,fp16,5,HBM3,50.7,50.7,32,0.224,0.052204,0.0526393763,0.991729,0.002432
C-mixtral-10,decode,static,H100,Mixtral-8x7B,1,fp16,5,HBM3,50.7,50.7,32,0.375,0.286148,0.288609926,0.991470,0.000444
C-mixtral-15,decode,static,H100,Mixtral-8x7B,1,fp16,5,HBM3,50.7,50.7,32,0.5781,0.19542,0.197019993,0.991879,0.000650
C-mixtral-7.5,decode,static,H100,Mixtral-8x7B,1,fp16,5,HBM3,50.7,50.7,32,0.2812,0.328224,0.330830796,0.992120,0.000387
C-olmoe-10,decode,static,H100,OLMoE-1B-7B,1,fp16,5,HBM3,50.7,50.7,32,0.5195,0.031568,0.0318369963,0.991551,0.004020
C-olmoe-15,decode,static,H100,OLMoE-1B-7B,1,fp16,5,HBM3,50.7,50.7,32,0.7188,0.018948,0.0191276518,0.990608,0.006692
C-olmoe-2.5,decode,static,H100,OLMoE-1B-7B,1,fp16,5,HBM3,50.7,50.7,32,0.1719,0.053724,0.0541310036,0.992481,0.002365
